2019-03-08 20:02:04,048:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:03:50,512:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:05:00,060:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:08:14,915:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:12:42,894:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:22:29,211:INFO:Begin running with train_and_evaluate mode
2020-05-11 14:20:32,229:INFO:step: 327, loss: 6.1513
2020-05-11 14:20:38,739:INFO:step: 328, loss: 6.6682
2020-05-11 14:20:45,215:INFO:step: 329, loss: 7.2668
2020-05-11 14:20:51,701:INFO:step: 330, loss: 6.6322
2020-05-11 14:20:58,204:INFO:step: 331, loss: 6.8198
2020-05-11 14:21:04,835:INFO:step: 332, loss: 7.2341
2020-05-11 14:21:11,357:INFO:step: 333, loss: 6.0736
2020-05-11 14:21:17,896:INFO:step: 334, loss: 6.7288
2020-05-11 14:21:24,353:INFO:step: 335, loss: 6.3245
2020-05-11 14:21:30,890:INFO:step: 336, loss: 6.7701
2020-05-11 14:21:37,503:INFO:step: 337, loss: 7.1287
2020-05-11 14:21:43,992:INFO:step: 338, loss: 6.4862
2020-05-11 14:21:50,498:INFO:step: 339, loss: 6.5835
2020-05-11 14:21:57,038:INFO:step: 340, loss: 6.4614
2020-05-11 14:22:03,519:INFO:step: 341, loss: 6.4829
2020-05-11 14:22:10,056:INFO:step: 342, loss: 7.0828
2020-05-11 14:22:16,709:INFO:step: 343, loss: 7.0245
2020-05-11 14:22:23,367:INFO:step: 344, loss: 6.6872
2020-05-11 14:22:30,133:INFO:step: 345, loss: 6.2702
2020-05-11 14:22:36,639:INFO:step: 346, loss: 6.6871
2020-05-11 14:22:43,143:INFO:step: 347, loss: 6.5019
2020-05-11 14:22:49,930:INFO:step: 348, loss: 6.6368
2020-05-11 14:22:56,461:INFO:step: 349, loss: 6.4069
2020-05-11 14:23:03,252:INFO:step: 350, loss: 6.9420
2020-05-11 14:23:09,850:INFO:step: 351, loss: 6.6356
2020-05-11 14:23:16,474:INFO:step: 352, loss: 5.7667
2020-05-11 14:23:23,052:INFO:step: 353, loss: 6.1427
2020-05-11 14:23:29,621:INFO:step: 354, loss: 5.7132
2020-05-11 14:23:36,167:INFO:step: 355, loss: 6.3328
2020-05-11 14:23:42,679:INFO:step: 356, loss: 6.3399
2020-05-11 14:23:49,160:INFO:step: 357, loss: 6.5934
2020-05-11 14:23:55,855:INFO:step: 358, loss: 6.5696
